Year,Unemployment_rate,Below high school,High school,College/associate degree,Bachelor's degree,zipcode
2011,14.9,0,0,0,0,93265
2011,22.7,0,0,0,0,93266
2011,24.9,0,0,0,0,93267
2011,11.8,0,0,0,0,93268
2011,16.9,0,0,0,0,93270
2011,2.7,0,0,0,0,93271
2011,6.3,0,0,0,0,93272
2011,11,0,0,0,0,93274
2011,9.6,0,0,0,0,93276
2011,10.7,0,0,0,0,93277
2011,12.9,0,0,0,0,93280
2011,16.5,0,0,0,0,93283
2011,6,0,0,0,0,93285
2011,13.9,0,0,0,0,93286
2011,10.3,0,0,0,0,93287
2011,10,0,0,0,0,93291
2011,9.5,0,0,0,0,93292
2011,15.1,0,0,0,0,93301
2011,16.6,0,0,0,0,93304
2011,18.7,0,0,0,0,93305
2011,13,0,0,0,0,93306
2011,17.3,0,0,0,0,93307
2011,13.3,0,0,0,0,93308
2011,10.7,0,0,0,0,93309
2011,6.4,0,0,0,0,93311
2011,6.5,0,0,0,0,93312
2011,11.6,0,0,0,0,93313
2011,8.6,0,0,0,0,93314
2011,8.3,0,0,0,0,93401
2011,7,0,0,0,0,93402
2011,10.8,0,0,0,0,93405
2011,0,0,0,0,0,93410
2011,8.8,0,0,0,0,93420
2011,7.2,0,0,0,0,93422
2011,0,0,0,0,0,93424
2011,13.1,0,0,0,0,93426
2011,6.2,0,0,0,0,93427
2011,6.2,0,0,0,0,93428
2011,0,0,0,0,0,93429
2011,9.7,0,0,0,0,93430
2011,6.5,0,0,0,0,93432
2011,9,0,0,0,0,93433
2011,6.9,0,0,0,0,93434
2011,10.3,0,0,0,0,93436
2011,4.5,0,0,0,0,93437
